Date,Open,High,Low,Close,Volume
2013-11-06,40.323,40.69,39.958,40.552,1734199
2013-11-07,40.323,41.128,40.323,40.414,748034
2013-11-08,40.25,40.414,39.875,40.232,444776
2013-11-12,40.68,40.697,39.821,39.821,870616
2013-11-13,39.775,39.976,39.335,39.363,1017537
2013-11-14,40.185,40.185,39.317,39.783,478211
2013-11-15,40.185,41.183,39.966,41.146,995756
2013-11-18,41.283,42.471,41.21,42.334,930812
2013-11-19,42.061,42.471,41.804,42.471,460111
2013-11-20,42.151,42.518,41.804,41.804,806348
2013-11-21,41.512,41.695,40.964,41.054,684750
2013-11-22,41.338,42.243,41.321,42.015,505553
2013-11-25,42.6,43.294,42.398,43.094,718267
2013-11-26,42.609,43.029,41.914,42.061,1274713
2013-11-27,41.695,43.02,41.695,42.965,447391
2013-11-28,42.563,43.157,42.563,42.975,568324
2013-11-29,43.157,43.835,42.993,43.798,1041708
2013-12-02,43.423,44.163,43.075,43.157,821806
2013-12-03,43.184,43.432,41.877,41.877,1081706
2013-12-04,41.877,42.316,41.447,41.896,1007576
2013-12-05,41.74,42.088,40.808,41.311,1381118
2013-12-06,42.334,42.471,40.532,41.53,1724382
2013-12-09,41.869,41.959,40.991,41.512,403471
2013-12-10,41.512,41.512,40.15,40.872,647198
2013-12-11,40.944,41.411,40.625,40.862,554264
2013-12-12,40.561,41.321,40.414,40.69,697701
2013-12-13,41.037,41.321,40.021,40.515,1135594
2013-12-16,40.505,40.515,39.61,40.049,1301241
2013-12-17,40.185,40.185,38.275,38.375,1197377
2013-12-18,38.659,39.08,37.251,37.763,1813260
2013-12-19,38.038,38.293,37.05,37.05,1267462
2013-12-20,37.077,37.763,36.592,37.031,2439771
2013-12-23,37.031,38.038,37.031,37.735,415812
2013-12-27,38.046,38.174,37.506,37.506,488971
2013-12-30,37.9,38.11,37.489,37.489,376936
2014-01-02,38.083,39.692,37.671,39.455,901677
2014-01-03,39.317,39.482,38.86,38.878,661822
2014-01-07,38.402,38.952,38.083,38.494,1536092
2014-01-08,38.494,38.805,38.229,38.402,1255025
2014-01-09,37.992,38.559,37.827,37.854,1518807
2014-01-10,37.671,38.586,37.06,38.586,2053146
2014-01-13,38.64,39.399,38.64,38.906,629278
2014-01-14,38.906,39.372,38.649,38.649,1523671
2014-01-15,39.308,39.363,38.586,38.586,1005956
2014-01-16,38.952,39.271,38.467,38.923,428114
2014-01-17,38.888,38.997,38.055,38.494,828904
2014-01-20,38.22,38.549,37.178,37.471,1223810
2014-01-21,37.662,38.22,37.443,37.443,631386
2014-01-22,37.937,37.937,36.666,36.995,2343987
2014-01-23,37.022,37.662,36.062,36.574,1322037
2014-01-24,36.62,37.06,35.641,35.641,1319461
2014-01-27,35.203,36.163,34.727,34.727,1971802
2014-01-28,35.203,35.56,34.764,35.203,1450871
2014-01-29,35.55,35.66,34.837,34.929,1652010
2014-01-30,34.929,35.358,34.288,35.294,1150686
2014-01-31,35.386,36.017,34.654,35.468,1542496
2014-02-03,35.56,36.072,35.248,35.478,985997
2014-02-04,35.221,35.825,34.965,35.157,813939
2014-02-05,34.929,35.203,34.654,34.654,1281612
2014-02-06,34.745,36.391,34.672,36.382,1915687
2014-02-07,36.382,37.314,35.98,37.314,1585885
2014-02-10,37.269,38.129,36.94,37.718,862094
2014-02-11,37.809,38.686,37.562,38.586,1169172
2014-02-12,38.732,38.833,38.193,38.322,1060970
2014-02-13,38.322,38.348,37.635,37.89,546589
2014-02-14,38.092,38.147,37.04,37.223,832454
2014-02-17,37.671,38.102,37.489,37.9,396131
2014-02-18,37.945,38.669,37.945,38.275,848142
2014-02-19,38.494,39.033,37.708,38.457,666577
2014-02-20,38.22,38.677,38.038,38.22,807313
2014-02-21,38.586,39.711,38.275,39.455,1000154
2014-02-24,39.39,40.341,39.144,39.958,909152
2014-02-25,39.958,40.131,39.5,39.591,489330
2014-02-26,39.591,39.866,38.275,38.275,1347010
2014-02-27,38.402,38.64,37.671,38.129,572505
2014-02-28,38.22,40.232,38.22,39.958,1561620
2014-03-03,38.64,38.723,36.391,36.574,1426881
2014-03-04,37.534,38.184,37.123,37.489,1322678
2014-03-05,37.58,38.211,37.489,37.809,1026788
2014-03-06,38.083,38.293,37.489,37.635,550133
2014-03-07,37.681,38.184,37.223,37.223,352921
2014-03-10,37.215,37.598,36.191,36.191,523509
2014-03-11,36.574,37.251,36.473,36.648,723566
2014-03-12,36.711,37.562,36.355,37.095,831529
2014-03-13,37.095,38.157,36.666,36.666,1013980
2014-03-14,36.301,37.077,36.126,37.077,888500
2014-03-17,37.104,38.696,36.766,38.696,840539
2014-03-18,38.193,38.841,37.671,37.781,800494
2014-03-19,37.928,38.339,37.37,37.489,257503
2014-03-20,37.397,38.302,37.132,37.215,643411
2014-03-21,37.626,37.9,36.912,36.912,1587629
2014-03-24,36.912,37.187,36.574,37.114,300258
2014-03-25,37.114,37.809,37.087,37.37,439782
2014-03-26,37.489,38.632,37.489,38.494,707353
2014-03-27,38.402,38.741,38.11,38.11,988899
2014-03-28,38.494,38.768,38.229,38.484,498621
2014-03-31,38.704,39.554,38.704,39.519,863882
2014-04-01,39.519,39.866,38.504,39.135,557687
2014-04-02,39.317,39.628,39.271,39.399,686918
2014-04-03,39.061,39.683,38.686,39.115,849271
2014-04-04,39.29,39.683,38.686,39.683,317531
2014-04-07,39.226,39.683,38.732,39.335,401720
2014-04-08,39.335,39.702,38.933,39.702,412607
2014-04-09,39.783,40.067,39.088,39.317,1042892
2014-04-10,39.766,40.69,39.637,40.69,1055001
